mae_trajectory,max_trajectory,failure_rate,interventions,whiteness_eff,distance,distance_per_intervention,cmd_whiteness,mae_steer_offline,max_steer_offline,cmd_whiteness_offline,expert_whiteness,uncertainty
1.0,0.1788253557801069,0.8939384722026054,-0.037152919533669775,-0.33434116782292206,,-0.11432760384912226,-0.36549924527729893,-0.7730484520554437,0.20350376104607049,-0.08958186511188197,,0.12997823598787786
0.1788253557801069,1.0,0.38356132507981716,-0.3803032305305974,-0.08788637151683865,,0.42050412475261933,0.43783139209070243,0.11243538309421701,0.4111094556530765,0.4276499488435145,,0.12147507908774702
0.8939384722026054,0.38356132507981716,1.0,-0.2817202049411592,-0.27601018512607384,,0.20610009218155154,-8.505565849388021e-05,-0.6441101827369106,0.3680640646186759,0.2224311183138115,,0.2401933841994351
-0.037152919533669775,-0.3803032305305974,-0.2817202049411592,1.0,0.17145879180484722,,-0.9388844186070721,-0.421266784609825,0.1416411202049989,0.049505047584857936,-0.2140763735155631,,0.01999990747347082
-0.33434116782292206,-0.08788637151683865,-0.27601018512607384,0.17145879180484722,1.0,,-0.1868127823344535,0.34289635198891283,0.7452566170561169,0.3451689608288573,0.4403784667670445,,-0.5457584694356439
,,,,,,,,,,,,
-0.11432760384912226,0.42050412475261933,0.20610009218155154,-0.9388844186070721,-0.1868127823344535,,1.0,0.501236947919791,-0.057440101811945574,-0.12513133573240992,0.2042982667786963,,-0.023668661839598645
-0.36549924527729893,0.43783139209070243,-8.505565849388021e-05,-0.421266784609825,0.34289635198891283,,0.501236947919791,1.0,0.5994195801995721,0.62715609340968,0.8292074890595363,,0.2921371633933611
-0.7730484520554437,0.11243538309421701,-0.6441101827369106,0.1416411202049989,0.7452566170561169,,-0.057440101811945574,0.5994195801995721,1.0,0.3236318619682315,0.49194019111686715,,-0.20110356866783474
0.20350376104607049,0.4111094556530765,0.3680640646186759,0.049505047584857936,0.3451689608288573,,-0.12513133573240992,0.62715609340968,0.3236318619682315,1.0,0.8877748122469127,,0.46038781085828173
-0.08958186511188197,0.4276499488435145,0.2224311183138115,-0.2140763735155631,0.4403784667670445,,0.2042982667786963,0.8292074890595363,0.49194019111686715,0.8877748122469127,1.0,,0.3548415689876203
,,,,,,,,,,,,
0.12997823598787786,0.12147507908774702,0.2401933841994351,0.01999990747347082,-0.5457584694356439,,-0.023668661839598645,0.2921371633933611,-0.20110356866783474,0.46038781085828173,0.3548415689876203,,1.0
